1,Knut,4,52394,2014-06-02 13:46:47.159717
2,Knut,10,61114,2014-06-02 13:47:52.953024
3,Knut online,12,365311,2014-06-02 13:50:13.137388
4,Knut,15,3396128,2014-06-02 16:16:46.014990
5,Knut mit Kategorien,5,252733,2014-06-02 16:23:27.332317
6,Internet explorer,2,10118,2014-06-02 16:28:13.231164
7,Herbert,11,214089,2014-06-02 17:25:19.667780
8,Herbert2,28,549188,2014-06-02 17:34:45.408826
9,haha,0,32722140,2014-06-03 11:36:53.158141
10,Ffgg,0,27035,2014-06-05 19:41:21.961090
11,Testing h,2,37230,2014-06-08 12:16:01.812731
12,Knut,8,5001046,2014-06-11 12:30:43.198438
13,Knut,7,11574,2014-06-11 12:31:03.347197
14,Bla,3,2280479,2014-06-11 13:10:40.553465
15,Knut,4,3816706,2014-06-11 15:36:04.048909
16,Herbert,37,512432,2014-06-11 16:23:30.374484
18,"Testing, h. ",9,157181,2014-06-11 20:33:07.354925
19,"Hau weg, den Eintrag, h. ",30,302627,2014-06-11 20:46:51.408636
21,h. ,23,166638,2014-06-12 12:23:57.831557
22,h 12,22,145520,2014-06-12 14:20:42.091317
23,test h 12,11,64821,2014-06-12 14:37:25.644850
24,Knut,17,101096,2014-06-12 15:05:33.400998
25,Knut mit redirect,15,162655,2014-06-12 15:09:30.180004
26,Knut auf Komet,18,84144,2014-06-12 15:23:52.454009
27,Hakan Calhanoglu,15,117522,2014-06-12 15:32:14.884485
28,Pierre-Michel Lasogga,37,182157,2014-06-12 15:38:17.215445
29,Hakan Calhanoglu,33,169143,2014-06-12 15:45:52.234970
30,Slobodan Rajkovic,22,107715,2014-06-12 15:49:52.478170
31,Aaron Hunt,40,149308,2014-06-12 15:59:46.972862
33,Zweiundvierzig,25,593182,2014-06-12 16:36:39.101755
34,Flo,26,229901,2014-06-13 19:27:28.126902
35,Alan,44,315372,2014-06-14 15:05:03.351908
36,@userversteher,34,263972,2014-06-14 19:32:54.827554
37,knut,31,249813,2014-06-14 20:43:35.963011
38,@userversteher,78,561643,2014-06-15 13:18:53.530685
39,Schau an,78,524164,2014-06-16 15:36:31.427187
40,Naja,35,244128,2014-06-16 15:47:14.326933
41,Oha,45,431395,2014-06-16 16:06:06.466810
42,wertz,58,363892,2014-06-16 16:47:15.484104
43,Mist,71,387785,2014-06-16 17:05:05.162846
44,oldknuffi,60,607566,2014-06-19 23:41:15.862754
